120.83.111.64  ,9999 ,高匿   ,HTTP ,广东揭阳市普宁
124.94.192.43  ,9999 ,高匿   ,HTTP ,辽宁阜新
113.103.226.162,9999 ,高匿   ,HTTPS,广东中山
1.197.203.62   ,9999 ,高匿   ,HTTPS,河南济源
119.98.215.192 ,8118 ,高匿   ,HTTPS,湖北武汉
113.103.226.185,9999 ,高匿   ,HTTPS,广东中山
222.188.143.166,9999 ,高匿   ,HTTPS,江苏常州
113.103.226.199,9999 ,高匿   ,HTTPS,广东中山
58.254.220.116 ,52470,高匿   ,HTTPS,广东惠州
182.88.131.237 ,8118 ,高匿   ,HTTP ,广西南宁
120.83.123.124 ,9999 ,高匿   ,HTTP ,广东揭阳
123.146.237.127,53281,高匿   ,HTTP ,重庆
122.193.246.214,9999 ,高匿   ,HTTPS,江苏南通
175.42.122.250 ,9999 ,高匿   ,HTTPS,福建宁德
120.83.98.233  ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
112.87.68.255  ,9999 ,高匿   ,HTTPS,江苏宿迁
120.83.120.39  ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
122.137.114.238,80   ,高匿   ,HTTPS,吉林
1.192.240.123  ,9999 ,高匿   ,HTTP ,河南郑州
111.226.228.169,8118 ,高匿   ,HTTP ,河北沧州
116.9.75.148   ,8118 ,高匿   ,HTTP ,广西南宁
27.219.77.28   ,8118 ,高匿   ,HTTP ,山东
119.162.150.192,8118 ,高匿   ,HTTP ,山东济南
115.219.182.37 ,8118 ,高匿   ,HTTP ,浙江温州
113.103.226.160,9999 ,高匿   ,HTTP ,广东中山
171.11.33.172  ,9999 ,高匿   ,HTTP ,河南
123.163.96.58  ,9999 ,高匿   ,HTTP ,河南洛阳
117.81.103.238 ,9999 ,高匿   ,HTTP ,江苏苏州
120.83.101.88  ,808  ,高匿   ,HTTPS,广东揭阳市普宁
1.197.16.87    ,9999 ,高匿   ,HTTP ,河南许昌
1.198.73.225   ,9999 ,高匿   ,HTTP ,河南
123.163.122.191,9999 ,高匿   ,HTTP ,河南洛阳
1.199.30.134   ,9999 ,高匿   ,HTTP ,河南漯河
163.204.244.75 ,9999 ,高匿   ,HTTP ,广东
112.87.68.242  ,9999 ,高匿   ,HTTP ,江苏宿迁
163.204.240.31 ,9999 ,高匿   ,HTTP ,广东
171.83.167.43  ,9999 ,高匿   ,HTTP ,
113.121.20.180 ,9999 ,高匿   ,HTTP ,山东烟台市莱阳
117.43.121.220 ,8080 ,高匿   ,HTTPS,江西南昌
49.72.115.85   ,9999 ,高匿   ,HTTPS,江苏苏州
1.198.72.114   ,9999 ,高匿   ,HTTPS,河南
171.80.0.12    ,9999 ,高匿   ,HTTPS,
110.189.152.86 ,52277,高匿   ,HTTPS,四川自贡
171.41.122.70  ,9999 ,高匿   ,HTTPS,湖北
�
120.83.111.64  ,9999 ,高匿   ,HTTP ,广东揭阳市普宁
113.121.23.195 ,32356,高匿   ,HTTPS,山东
112.85.129.150 ,9999 ,高匿   ,HTTPS,江苏南通
123.132.232.254,37638,高匿   ,HTTPS,山东临沂
113.87.202.170 ,8118 ,高匿   ,HTTPS,广东深圳
112.87.69.131  ,9999 ,高匿   ,HTTP ,江苏宿迁
222.189.144.183,9999 ,高匿   ,HTTPS,江苏扬州
125.115.182.7  ,3128 ,高匿   ,HTTPS,浙江宁波
112.85.167.174 ,9999 ,高匿   ,HTTPS,江苏南通
112.85.130.136 ,9999 ,高匿   ,HTTPS,江苏南通
113.121.22.134 ,9999 ,高匿   ,HTTP ,山东
112.85.171.83  ,9999 ,高匿   ,HTTPS,江苏南通
112.85.175.73  ,9999 ,高匿   ,HTTPS,江苏南通
163.204.240.98 ,9999 ,高匿   ,HTTP ,广东
163.204.242.208,9999 ,高匿   ,HTTP ,广东
112.85.128.181 ,9999 ,高匿   ,HTTPS,江苏南通
117.95.199.249 ,9999 ,高匿   ,HTTPS,江苏宿迁
163.204.242.168,9999 ,高匿   ,HTTP ,广东
182.34.19.52   ,8010 ,高匿   ,HTTPS,山东烟台
61.183.176.122 ,53281,高匿   ,HTTPS,湖北武汉
106.12.217.43  ,8118 ,高匿   ,HTTP ,
114.225.220.230,9999 ,高匿   ,HTTPS,江苏无锡
113.116.51.250 ,8118 ,高匿   ,HTTP ,广东深圳
112.85.151.126 ,9999 ,高匿   ,HTTP ,江苏南通
175.148.76.161 ,1133 ,高匿   ,HTTP ,辽宁葫芦岛
1.192.240.233  ,9999 ,高匿   ,HTTP ,河南郑州
120.83.98.236  ,808  ,高匿   ,HTTPS,广东揭阳市普宁
112.85.175.151 ,9999 ,高匿   ,HTTPS,江苏南通
1.192.243.49   ,9999 ,高匿   ,HTTPS,河南郑州
125.123.140.92 ,9999 ,高匿   ,HTTP ,浙江嘉兴
119.176.169.232,9999 ,高匿   ,HTTP ,山东临沂
117.63.1.132   ,9999 ,高匿   ,HTTP ,江苏常州
123.188.216.206,9999 ,高匿   ,HTTP ,辽宁
182.34.22.237  ,9999 ,高匿   ,HTTP ,山东烟台
117.90.252.9   ,9999 ,高匿   ,HTTP ,江苏镇江
219.142.132.146,40655,高匿   ,HTTPS,北京
180.116.59.70  ,9999 ,高匿   ,HTTP ,江苏常州
117.81.103.221 ,9999 ,高匿   ,HTTPS,江苏苏州
112.85.131.205 ,9999 ,高匿   ,HTTP ,江苏南通
27.40.155.173  ,9999 ,高匿   ,HTTPS,广东湛江
110.73.0.121   ,8123 ,高匿   ,HTTP ,广西防城港
163.204.241.210,9999 ,高匿   ,HTTP ,广东
113.124.84.132 ,9999 ,高匿   ,HTTP ,山东烟台
123.163.96.118 ,9999 ,高匿   ,HTTP ,河南洛阳
163.204.244.219,9999 ,高匿   ,HTTP ,广东
124.94.195.29  ,9999 ,高匿   ,HTTP ,辽宁阜新
1.192.240.103  ,9999 ,高匿   ,HTTP ,河南郑州
163.204.244.39 ,9999 ,高匿   ,HTTPS,广东
49.86.177.170  ,9999 ,高匿   ,HTTP ,江苏
111.177.186.211,9999 ,高匿   ,HTTPS,湖北随州
112.87.69.147  ,9999 ,高匿   ,HTTPS,江苏宿迁
113.121.21.69  ,9999 ,高匿   ,HTTPS,山东
112.85.151.7   ,9999 ,高匿   ,HTTP ,江苏南通
112.85.173.34  ,9999 ,高匿   ,HTTP ,江苏南通
112.87.65.173  ,9999 ,高匿   ,HTTP ,江苏宿迁
113.121.21.39  ,9999 ,高匿   ,HTTP ,山东
115.53.32.229  ,9999 ,高匿   ,HTTP ,河南濮阳
125.115.182.54 ,3128 ,高匿   ,HTTP ,浙江宁波
218.73.141.167 ,9999 ,高匿   ,HTTP ,浙江温州
112.87.69.112  ,9999 ,高匿   ,HTTP ,江苏宿迁
112.85.131.217 ,9999 ,高匿   ,HTTPS,江苏南通
123.8.123.129  ,9999 ,高匿   ,HTTP ,河南濮阳
171.80.3.14    ,9999 ,高匿   ,HTTP ,
123.163.97.169 ,9999 ,高匿   ,HTTPS,河南洛阳
113.121.20.205 ,9999 ,高匿   ,HTTP ,山东烟台市莱阳
112.85.172.87  ,9999 ,高匿   ,HTTPS,江苏南通
112.85.131.195 ,9999 ,高匿   ,HTTPS,江苏南通
163.204.242.85 ,9999 ,高匿   ,HTTPS,广东
123.245.1.115  ,808  ,高匿   ,HTTP ,辽宁沈阳
163.204.241.44 ,9999 ,高匿   ,HTTP ,广东
171.80.2.103   ,9999 ,高匿   ,HTTP ,
163.204.241.97 ,9999 ,高匿   ,HTTP ,广东
163.204.244.103,9999 ,高匿   ,HTTP ,广东
112.85.129.233 ,9999 ,高匿   ,HTTP ,江苏南通
210.5.10.87    ,53281,高匿   ,HTTPS,广东广州
112.85.168.36  ,9999 ,高匿   ,HTTPS,江苏南通
112.87.70.90   ,9999 ,高匿   ,HTTPS,江苏宿迁
112.85.131.108 ,9999 ,高匿   ,HTTPS,江苏南通
116.208.52.229 ,9999 ,高匿   ,HTTPS,湖北襄阳
223.241.116.102,8010 ,高匿   ,HTTP ,安徽
112.87.68.252  ,9999 ,高匿   ,HTTP ,江苏宿迁
112.85.170.80  ,9999 ,高匿   ,HTTP ,江苏南通
219.157.144.246,8118 ,高匿   ,HTTPS,河南郑州
117.68.190.38  ,8118 ,高匿   ,HTTP ,安徽合肥市巢湖
113.121.22.218 ,9999 ,高匿   ,HTTP ,山东
101.132.131.158,8118 ,高匿   ,HTTPS,北京
171.83.166.67  ,9999 ,高匿   ,HTTPS,
163.204.247.209,9999 ,高匿   ,HTTPS,广东
120.83.108.177 ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
163.204.242.229,9999 ,高匿   ,HTTP ,广东
49.86.178.40   ,9999 ,高匿   ,HTTP ,江苏
1.197.16.50    ,9999 ,高匿   ,HTTP ,河南许昌
111.177.113.59 ,9999 ,高匿   ,HTTPS,湖北襄阳
112.85.173.216 ,9999 ,高匿   ,HTTPS,江苏南通
124.94.195.110 ,9999 ,高匿   ,HTTPS,辽宁阜新
120.83.104.224 ,9999 ,高匿   ,HTTPS,广东揭阳
223.241.118.34 ,8010 ,高匿   ,HTTPS,安徽
112.85.151.160 ,9999 ,高匿   ,HTTP ,江苏南通
27.195.216.21  ,8118 ,高匿   ,HTTP ,山东淄博
49.86.182.201  ,9999 ,高匿   ,HTTP ,江苏
112.87.71.162  ,9999 ,高匿   ,HTTP ,江苏宿迁
220.168.52.245 ,55255,高匿   ,HTTPS,湖南长沙
112.85.128.95  ,9999 ,高匿   ,HTTPS,江苏南通
163.204.243.133,9999 ,高匿   ,HTTP ,广东
112.85.130.80  ,9999 ,高匿   ,HTTPS,江苏南通
1.192.247.241  ,9999 ,高匿   ,HTTPS,河南郑州
112.85.175.210 ,9999 ,高匿   ,HTTPS,江苏南通
60.13.42.194   ,9999 ,高匿   ,HTTPS,甘肃平凉
112.85.131.69  ,9999 ,高匿   ,HTTPS,江苏南通
112.85.165.126 ,9999 ,高匿   ,HTTPS,江苏南通
120.83.110.249 ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
112.85.149.119 ,9999 ,高匿   ,HTTPS,江苏南通
60.13.42.60    ,9999 ,高匿   ,HTTP ,甘肃平凉
112.85.164.50  ,9999 ,高匿   ,HTTPS,江苏南通
112.87.69.184  ,9999 ,高匿   ,HTTP ,江苏宿迁
112.85.168.104 ,9999 ,高匿   ,HTTPS,江苏南通
115.53.23.212  ,9999 ,高匿   ,HTTPS,河南濮阳
116.208.53.248 ,9999 ,高匿   ,HTTPS,湖北襄阳
115.53.36.238  ,9999 ,高匿   ,HTTP ,河南濮阳
112.87.71.153  ,9999 ,高匿   ,HTTPS,江苏宿迁
27.43.188.94   ,9999 ,高匿   ,HTTP ,广东梅州
112.85.130.150 ,9999 ,高匿   ,HTTP ,江苏南通
60.13.42.248   ,9999 ,高匿   ,HTTP ,甘肃平凉
120.83.109.133 ,9999 ,高匿   ,HTTP ,广东揭阳市普宁
1.198.72.53    ,9999 ,高匿   ,HTTP ,河南
120.83.97.241  ,9999 ,高匿   ,HTTP ,广东揭阳市普宁
122.193.244.113,9999 ,高匿   ,HTTP ,江苏南通
180.160.76.53  ,8118 ,高匿   ,HTTPS,上海
112.85.128.102 ,9999 ,高匿   ,HTTP ,江苏南通
163.204.247.154,9999 ,高匿   ,HTTP ,广东
113.121.22.89  ,9999 ,高匿   ,HTTP ,山东
112.85.128.12  ,9999 ,高匿   ,HTTPS,江苏南通
163.204.242.130,9999 ,高匿   ,HTTPS,广东
113.121.23.228 ,40921,高匿   ,HTTPS,山东
113.124.86.163 ,9999 ,高匿   ,HTTPS,山东烟台
112.85.171.160 ,9999 ,高匿   ,HTTP ,江苏南通
163.204.244.214,9999 ,高匿   ,HTTP ,广东
36.99.213.58   ,9999 ,高匿   ,HTTPS,浙江
120.83.104.135 ,9999 ,高匿   ,HTTP ,广东揭阳
163.204.243.1  ,9999 ,高匿   ,HTTP ,广东
112.85.150.250 ,9999 ,高匿   ,HTTP ,江苏南通
112.85.129.107 ,9999 ,高匿   ,HTTPS,江苏南通
112.85.131.67  ,9999 ,高匿   ,HTTPS,江苏南通
163.204.240.100,9999 ,高匿   ,HTTPS,广东
112.87.70.10   ,9999 ,高匿   ,HTTP ,江苏宿迁
112.85.130.93  ,9999 ,高匿   ,HTTP ,江苏南通
122.193.246.133,9999 ,高匿   ,HTTP ,江苏南通
112.85.130.178 ,9999 ,高匿   ,HTTP ,江苏南通
112.85.128.74  ,9999 ,高匿   ,HTTPS,江苏南通
112.87.69.226  ,9999 ,高匿   ,HTTP ,江苏宿迁
222.89.32.168  ,9999 ,高匿   ,HTTPS,河南济源
112.87.71.11   ,9999 ,高匿   ,HTTPS,江苏宿迁
112.85.130.92  ,9999 ,高匿   ,HTTP ,江苏南通
182.88.187.177 ,8123 ,高匿   ,HTTP ,广西南宁
115.219.41.145 ,8118 ,高匿   ,HTTP ,浙江温州
112.85.168.243 ,9999 ,高匿   ,HTTPS,江苏南通
27.189.128.14  ,53281,高匿   ,HTTPS,河北廊坊
221.206.100.133,34073,高匿   ,HTTPS,黑龙江牡丹江
115.53.17.242  ,9999 ,高匿   ,HTTPS,河南濮阳
60.13.42.98    ,9999 ,高匿   ,HTTP ,甘肃平凉
116.208.54.164 ,9999 ,高匿   ,HTTP ,湖北襄阳
27.43.191.182  ,9999 ,高匿   ,HTTP ,广东梅州
112.87.66.51   ,9999 ,高匿   ,HTTPS,江苏宿迁
112.87.66.42   ,9999 ,高匿   ,HTTPS,江苏宿迁
112.85.130.17  ,9999 ,高匿   ,HTTP ,江苏南通
27.43.191.135  ,9999 ,高匿   ,HTTP ,广东梅州
112.85.131.142 ,9999 ,高匿   ,HTTP ,江苏南通
112.85.171.107 ,9999 ,高匿   ,HTTP ,江苏南通
112.87.71.145  ,9999 ,高匿   ,HTTP ,江苏宿迁
114.239.147.64 ,808  ,高匿   ,HTTP ,江苏宿迁市泗阳县
112.85.129.73  ,8090 ,高匿   ,HTTP ,江苏南通
112.85.130.166 ,9999 ,高匿   ,HTTP ,江苏南通
120.83.111.235 ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
119.130.134.141,8888 ,高匿   ,HTTP ,广东广州
60.13.42.169   ,9999 ,高匿   ,HTTPS,甘肃平凉
112.85.170.245 ,9999 ,高匿   ,HTTPS,江苏南通
117.91.249.4   ,9999 ,高匿   ,HTTP ,江苏扬州
114.230.69.93  ,9999 ,高匿   ,HTTP ,江苏扬州
163.204.241.107,9999 ,高匿   ,HTTP ,广东
123.169.36.158 ,9999 ,高匿   ,HTTP ,山东烟台
111.75.223.9   ,35918,高匿   ,HTTP ,江西
182.90.246.24  ,8118 ,高匿   ,HTTP ,广西梧州
61.184.109.33  ,61320,高匿   ,HTTP ,湖北黄石市大冶
180.107.180.45 ,9999 ,高匿   ,HTTP ,江苏苏州
113.121.44.206 ,9999 ,高匿   ,HTTP ,山东烟台
222.128.9.235  ,59593,高匿   ,HTTPS,北京
180.107.180.54 ,9999 ,高匿   ,HTTP ,江苏苏州
218.65.219.119 ,36688,高匿   ,HTTPS,广西百色
183.63.101.62  ,53281,高匿   ,HTTPS,广东广州
211.159.171.58 ,80   ,高匿   ,HTTPS,北京
114.119.116.92 ,61066,高匿   ,HTTPS,广东深圳
60.217.64.237  ,31923,高匿   ,HTTP ,山东威海
27.11.201.245  ,8118 ,高匿   ,HTTPS,重庆
223.241.118.137,8010 ,高匿   ,HTTPS,安徽
110.72.40.201  ,8123 ,高匿   ,HTTP ,广西贵港
60.2.44.182    ,30963,高匿   ,HTTP ,河北唐山
119.23.105.110 ,8118 ,高匿   ,HTTP ,
222.184.7.206  ,40908,高匿   ,HTTP ,江苏淮安
221.227.75.183 ,9999 ,高匿   ,HTTPS,江苏无锡
175.155.220.65 ,53128,高匿   ,HTTPS,四川德阳
999            ,高匿   ,HTTPS,广东中山
58.254.220.116 ,52470,高匿   ,HTTPS,广东惠州
182.88.131.237 ,8118 ,高匿   ,HTTP ,广西南宁
120.83.123.124 ,9999 ,高匿   ,HTTP ,广东揭阳
123.146.237.127,53281,高匿   ,HTTP ,重庆
122.193.246.214,9999 ,高匿   ,HTTPS,江苏南通
175.42.122.250 ,9999 ,高匿   ,HTTPS,福建宁德
120.83.98.233  ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
112.87.68.255  ,9999 ,高匿   ,HTTPS,江苏宿迁
120.83.120.39  ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
122.137.114.238,80   ,高匿   ,HTTPS,吉林
1.192.240.123  ,9999 ,高匿   ,HTTP ,河南郑州
111.226.228.169,8118 ,高匿   ,HTTP ,河北沧州
116.9.75.148   ,8118 ,高匿   ,HTTP ,广西南宁
27.219.77.28   ,8118 ,高匿   ,HTTP ,山东
119.162.150.192,8118 ,高匿   ,HTTP ,山东济南
115.219.182.37 ,8118 ,高匿   ,HTTP ,浙江温州
113.103.226.160,9999 ,高匿   ,HTTP ,广东中山
171.11.33.172  ,9999 ,高匿   ,HTTP ,河南
123.163.96.58  ,9999 ,高匿   ,HTTP ,河南洛阳
117.81.103.238 ,9999 ,高匿   ,HTTP ,江苏苏州
120.83.101.88  ,808  ,高匿   ,HTTPS,广东揭阳市普宁
1.197.16.87    ,9999 ,高匿   ,HTTP ,河南许昌
1.198.73.225   ,9999 ,高匿   ,HTTP ,河南
123.163.122.191,9999 ,高匿   ,HTTP ,河南洛阳
1.199.30.134   ,9999 ,高匿   ,HTTP ,河南漯河
163.204.244.75 ,9999 ,高匿   ,HTTP ,广东
112.87.68.242  ,9999 ,高匿   ,HTTP ,江苏宿迁
163.204.240.31 ,9999 ,高匿   ,HTTP ,广东
171.83.167.43  ,9999 ,高匿   ,HTTP ,
